Wavelength,RGB,RB,White
580.582,47.67,16.4,3763.84
580.922,48.81,18.11,3772.27
581.262,46.38,14.83,3752.98
581.603,44.52,16.4,3753.98
581.943,45.24,16.68,3739.56
582.284,45.38,15.83,3724.27
582.624,44.24,15.68,3737.98
582.964,42.81,15.83,3747.56
583.304,44.81,17.25,3711.27
583.645,43.95,16.97,3725.7
583.985,43.95,18.4,3730.7
584.325,43.95,17.97,3728.84
584.665,43.38,16.11,3722.84
585.005,43.38,17.25,3734.27
585.345,43.38,16.97,3714.7
585.685,43.24,16.25,3706.13
586.025,41.81,16.54,3686.7
586.364,42.1,18.4,3701.98
586.704,42.67,18.25,3699.13
587.044,42.52,18.25,3703.98
587.384,42.81,16.83,3689.7
587.723,41.38,17.11,3682.7
588.063,39.81,17.54,3671.84
588.403,42.1,17.68,3671.56
588.742,42.95,17.68,3655.98
589.082,42.24,19.25,3694.7
589.421,41.67,19.83,3656.41
589.761,41.38,18.11,3664.84
590.1,43.67,17.54,3667.41
590.439,42.1,19.11,3647.13
590.779,43.24,20.54,3626.98
591.118,43.24,18.97,3634.56
591.457,43.52,19.11,3634.84
591.796,43.95,21.25,3630.56
592.135,43.1,19.54,3635.41
592.474,44.52,19.25,3607.98
592.813,44.38,21.54,3587.27
593.152,43.81,21.83,3589.98
593.491,45.95,22.97,3571.27
593.83,43.81,23.68,3583.13
594.169,45.52,23.68,3576.13
594.508,46.67,24.83,3568.13
594.847,48.1,26.54,3579.7
595.186,47.67,25.83,3555.56
595.524,48.52,28.54,3554.98
595.863,51.52,30.68,3544.84
596.202,50.67,30.25,3550.84
596.54,52.24,31.97,3550.27
596.879,48.81,33.97,3503.98
597.217,49.52,36.97,3504.84
597.556,49.67,38.4,3485.27
597.894,56.24,40.83,3487.84
598.232,52.81,43.25,3477.98
598.571,55.67,48.25,3458.56
598.909,57.24,51.11,3457.13
599.247,54.52,54.54,3437.56
599.585,59.24,59.97,3428.84
599.923,60.1,66.97,3421.7
600.262,61.95,73.54,3415.56
600.6,62.81,77.4,3394.13
600.938,61.95,80.97,3389.7
601.276,62.81,92.4,3389.56
601.614,63.38,98.83,3341.27
601.951,66.1,103.83,3332.13
602.289,68.52,114.25,3357.98
602.627,67.24,121.11,3316.56
602.965,68.52,131.68,3309.56
603.303,70.67,140.97,3303.7
603.64,75.1,149.97,3263.98
603.978,73.38,160.11,3263.27
604.316,74.52,171.54,3259.84
604.653,75.67,182.25,3238.56
604.991,80.81,193.11,3213.41
605.328,85.1,210.54,3207.41
605.665,84.95,219.25,3182.13
606.003,84.38,233.97,3163.56
606.34,86.81,242.25,3144.84
606.678,90.24,261.25,3146.84
607.015,89.67,268.68,3110.27
607.352,93.67,282.68,3093.41
607.689,96.24,303.97,3085.13
608.026,98.24,315.97,3057.98
608.363,99.81,327.4,3030.98
608.7,102.81,346.68,3022.84
609.037,106.95,368.11,3019.13
609.374,107.52,377.11,2966.13
609.711,111.81,399.54,2974.56
610.048,114.38,414.25,2949.41
610.385,115.52,434.83,2929.13
610.722,120.1,453.54,2898.7
611.058,121.67,470.4,2882.84
611.395,127.81,498.68,2875.56
611.732,130.38,511.4,2806.98
612.068,131.81,540.11,2794.56
612.405,137.67,557.97,2775.7
612.741,140.67,577.25,2738.98
613.078,142.1,600.68,2731.7
613.414,147.95,619.11,2699.13
613.751,149.52,643.97,2676.84
614.087,156.81,670.4,2658.84
614.423,162.67,692.25,2632.7
614.76,165.1,719.68,2613.13
615.096,170.95,748.25,2588.98
615.432,172.1,771.4,2560.27
615.768,179.81,797.11,2558.41
616.104,181.67,817.97,2513.98
616.44,189.52,864.83,2499.41
616.776,195.38,895.68,2486.98
617.112,201.1,926.97,2477.84
617.448,205.24,944.83,2450.27
617.784,212.95,990.54,2429.56
618.12,218.95,1027.4,2428.98
618.456,226.67,1055.54,2399.84
618.791,232.38,1096.11,2395.98
619.127,239.67,1135.97,2383.56
619.463,253.67,1173.4,2372.13
619.798,260.52,1205.54,2348.13
620.134,269.24,1262.25,2350.41
620.469,280.1,1314.4,2349.41
620.805,290.38,1349.68,2314.27
621.14,299.95,1403.83,2330.56
621.476,314.52,1449.25,2313.13
621.811,326.81,1504.54,2310.7
622.146,334.24,1547.97,2293.41
622.482,346.67,1614.83,2291.56
622.817,363.67,1665.54,2291.41
623.152,375.52,1718.97,2280.84
623.487,392.95,1781.4,2291.56
623.822,405.95,1844.68,2273.13
624.157,418.95,1900.4,2267.27
624.492,436.24,1965.54,2261.84
624.827,454.67,2030.11,2268.13
625.162,465.81,2076.97,2263.56
625.497,488.1,2137.4,2266.13
625.832,506.24,2166.83,2250.84
626.166,526.38,2225.11,2250.84
626.501,538.52,2260.97,2257.98
626.836,563.38,2304.11,2246.7
627.171,584.67,2321.25,2228.7
627.505,614.67,2340.4,2236.56
627.84,633.81,2352.97,2238.7
628.174,649.67,2335.54,2217.7
628.509,681.81,2330.97,2222.84
628.843,708.67,2319.25,2204.56
629.177,728.52,2292.54,2193.84
629.512,751.38,2268.25,2200.13
629.846,766.81,2205.25,2193.13
630.18,791.24,2158.68,2189.7
630.515,805.95,2088.25,2165.27
630.849,815.1,2014.97,2156.7
631.183,840.81,1938.97,2160.41
631.517,848.95,1842.25,2138.27
631.851,866.1,1752.4,2126.56
632.185,890.24,1665.4,2115.7
632.519,897.1,1575.25,2104.27
632.853,914.81,1470.54,2090.27
633.187,931.24,1374.54,2076.98
633.52,944.81,1294.11,2066.98
633.854,967.95,1207.11,2056.98
634.188,982.67,1121.25,2038.84
634.522,997.95,1047.4,2018.56
634.855,1014.24,976.4,2016.27
635.189,1031.95,908.25,2000.7
635.522,1038.52,842.68,1986.13
635.856,1055.24,785.68,1978.98
