PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,5
0,0.708,0.002160247,0,0,0,0,0,0,1,0,1,0,0,0,RB,5
1,0.678666667,0.002867442,0.012666667,0.000471405,0.041333333,0.001699673,0.051,0.002160247,0.969666667,0.000942809,0.906,0.002828427,0.3,0,RB,5
2,0.680666667,0.003399346,0.013666667,0.001699673,0.044333333,0.005312459,0.055,0.006164414,0.973666667,0.002624669,0.917,0.00725718,0.6,0,RB,5
11,0.648666667,0.002054805,0.021333333,0.003299832,0.064666667,0.010656245,0.078,0.011518102,0.934,0.002160247,0.811666667,0.004988877,3,0,RB,5
31,0.543,0.007788881,0.031666667,0.005792716,0.073666667,0.01569147,0.088333333,0.017745109,0.783666667,0.012657892,0.526666667,0.019223828,7.066666667,0.124721913,RB,5
55,0.499333333,0.009977753,0.049333333,0.00601849,0.110333333,0.016996732,0.127,0.017454703,0.727666667,0.015195028,0.456666667,0.020072092,11.53333333,0.249443826,RB,5
80,0.489666667,0.010338708,0.061333333,0.006649979,0.137333333,0.019601587,0.154333333,0.018979521,0.719,0.016573071,0.45,0.021416505,16.43333333,0.329983165,RB,5
114,0.482333333,0.009741093,0.07,0.007874008,0.157333333,0.022395436,0.173333333,0.020997354,0.712666667,0.01675974,0.445333333,0.021202725,23.13333333,0.464279609,RB,5
150,0.477666667,0.008993825,0.076666667,0.008339997,0.172666667,0.02548638,0.187666667,0.023328571,0.708666667,0.016213849,0.442666667,0.020677417,30.1,0.571547607,RB,5
195,0.466333333,0.008730534,0.082333333,0.008806563,0.183333333,0.026599916,0.197666667,0.023976841,0.693666667,0.015326085,0.426333333,0.019344824,38.16666667,0.684754619,RB,5
260,0.439333333,0.008956686,0.088666667,0.009741093,0.188666667,0.026787227,0.202,0.024166092,0.654666667,0.014817407,0.384,0.017048949,47.96666667,0.928559218,RB,5
345,0.398333333,0.009177267,0.094666667,0.010498677,0.188,0.027724838,0.201666667,0.024635115,0.593333333,0.015434449,0.324333333,0.015282525,57.7,1.33666251,RB,5
440,0.354,0.008831761,0.1,0.011430952,0.183666667,0.026787227,0.197666667,0.023893281,0.526333333,0.014659089,0.267333333,0.013123346,65.33333333,1.641814714,RB,5
556,0.306666667,0.008730534,0.104333333,0.012364825,0.177666667,0.0260427,0.192333333,0.023697163,0.455333333,0.014055446,0.214666667,0.010498677,71.56666667,2.049932248,RB,5
690,0.260333333,0.00837987,0.108,0.012192894,0.172,0.024913183,0.187333333,0.023041026,0.386,0.012961481,0.170666667,0.008339997,75.46666667,2.321398046,RB,5
844,0.218333333,0.007039571,0.111333333,0.013274872,0.167333333,0.024689179,0.182333333,0.022528994,0.324,0.010984838,0.134666667,0.006182412,77.5,2.458997086,RB,5
1007,0.184333333,0.005734884,0.115,0.014514361,0.164666667,0.024997778,0.18,0.023151674,0.272666667,0.009285592,0.108666667,0.004784233,77.93333333,2.471616655,RB,5
1207,0.152,0.004546061,0.119333333,0.014839886,0.164666667,0.023795424,0.18,0.02255364,0.225333333,0.007586538,0.086333333,0.003858612,77.13333333,2.494438258,RB,5
1414,0.126333333,0.004109609,0.124333333,0.015627611,0.166,0.024124676,0.181666667,0.022425184,0.187,0.006683313,0.069333333,0.003091206,75.1,2.515286597,RB,5
1689,0.102,0.003741657,0.130333333,0.015062831,0.170666667,0.023442601,0.186,0.021400935,0.151,0.00509902,0.055,0.002160247,72.3,2.40554914,RB,5
1995,0.081666667,0.002867442,0.138,0.015769168,0.177666667,0.023697163,0.192333333,0.021202725,0.121,0.003741657,0.043333333,0.001699673,68.33333333,2.123414441,RB,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,5
