PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,5
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,5
0,0.708666667,0.004921608,0,0,0,0,0,0,1,0,1,0,0,0,RGB,5
1,0.682666667,0.003399346,0.011666667,0.000942809,0.037333333,0.003399346,0.046333333,0.004189935,0.974,0.002160247,0.917666667,0.008339997,0.3,0,RGB,5
2,0.681,0.004546061,0.013333333,0.000471405,0.043333333,0.001699673,0.053333333,0.001699673,0.973333333,0.001247219,0.916666667,0.003399346,0.6,0,RGB,5
11,0.627,0.012754084,0.023,0.00294392,0.065666667,0.006944222,0.079333333,0.007760298,0.902,0.012027746,0.737666667,0.023328571,2.866666667,0.047140452,RGB,5
31,0.529,0.003265986,0.038,0.006480741,0.087666667,0.016213849,0.103333333,0.017133463,0.766,0.004242641,0.503333333,0.011897712,6.866666667,0.047140452,RGB,5
55,0.503666667,0.004189935,0.05,0.00294392,0.113,0.006164414,0.129666667,0.007039571,0.734,0.000816497,0.464666667,0.005312459,11.63333333,0.094280904,RGB,5
80,0.499,0.005887841,0.059333333,0.002054805,0.134666667,0.004189935,0.152,0.004082483,0.732,0.002828427,0.464666667,0.002054805,16.76666667,0.205480467,RGB,5
114,0.494666667,0.005557777,0.066666667,0.001247219,0.151,0.004320494,0.168,0.003741657,0.728666667,0.003299832,0.463666667,0.002357023,23.7,0.294392029,RGB,5
150,0.488,0.005715476,0.071333333,0.001885618,0.162333333,0.006342099,0.178333333,0.004784233,0.721,0.00509902,0.455333333,0.004189935,30.73333333,0.38586123,RGB,5
195,0.470333333,0.005906682,0.077333333,0.002624669,0.171,0.008041559,0.186333333,0.006342099,0.696333333,0.005436502,0.427333333,0.004988877,38.5,0.496655481,RGB,5
260,0.434,0.005656854,0.085,0.002828427,0.177,0.008640988,0.192333333,0.006944222,0.644333333,0.005436502,0.371333333,0.004189935,47.36666667,0.612825877,RGB,5
345,0.385333333,0.004496913,0.093,0.003559026,0.177666667,0.008956686,0.192333333,0.007717225,0.571666667,0.004189935,0.303666667,0.002357023,55.83333333,0.659966329,RGB,5
440,0.336666667,0.004027682,0.098,0.004242641,0.173333333,0.009741093,0.188666667,0.008055364,0.499,0.003741657,0.245,0.002160247,62.16666667,0.758653778,RGB,5
556,0.286,0.003559026,0.103333333,0.004784233,0.169,0.00993311,0.185,0.008524475,0.424333333,0.003299832,0.193,0.001632993,66.83333333,0.805536398,RGB,5
690,0.24,0.002828427,0.107666667,0.00601849,0.165333333,0.010498677,0.181333333,0.009104334,0.354666667,0.002054805,0.151333333,0.000942809,69.53333333,0.731816613,RGB,5
844,0.2,0.002160247,0.111666667,0.00601849,0.163333333,0.010498677,0.179333333,0.009104334,0.296,0.001632993,0.119666667,0.000471405,70.93333333,0.731816613,RGB,5
1007,0.167666667,0.001247219,0.117,0.006377042,0.163333333,0.010402991,0.179666667,0.008806563,0.247666667,0.000471405,0.096,0.000816497,70.86666667,0.618241233,RGB,5
1207,0.137333333,0.000942809,0.123,0.006377042,0.166,0.00993311,0.182,0.008524475,0.203,0.000816497,0.076,0.000816497,69.53333333,0.590668172,RGB,5
1414,0.114333333,0.000942809,0.128333333,0.006847546,0.169333333,0.010402991,0.185,0.008524475,0.169,0.000816497,0.062,0.000816497,67.66666667,0.471404521,RGB,5
1689,0.091,0.000816497,0.136333333,0.006847546,0.176666667,0.010208929,0.191666667,0.008730534,0.135333333,0.000471405,0.048666667,0.000471405,64.63333333,0.464279609,RGB,5
1995,0.072666667,0.000471405,0.145666667,0.006649979,0.186666667,0.010208929,0.201,0.008524475,0.108,0.000816497,0.038,0.000816497,60.8,0.489897949,RGB,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,5
