PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,4
0,0.730666667,0.004189935,0,0,0,0,0,0,1,0,1,0,0,0,WHITE,4
1,0.697,0.004082483,0.01,0.000816497,0.034333333,0.002357023,0.042333333,0.002357023,0.962666667,0.000942809,0.877,0.003265986,0.3,0,WHITE,4
2,0.701,0.00509902,0.012333333,0.000942809,0.042666667,0.004784233,0.051666667,0.004784233,0.970666667,0.002624669,0.901,0.007118052,0.6,0,WHITE,4
11,0.657,0.014719601,0.018666667,0.000942809,0.057666667,0.004988877,0.069,0.005354126,0.913666667,0.016539515,0.749333333,0.036808815,3.033333333,0.094280904,WHITE,4
31,0.573,0.029337121,0.029,0.001414214,0.073,0.007483315,0.086333333,0.007845735,0.799666667,0.037561801,0.534666667,0.054707302,7.466666667,0.402768199,WHITE,4
55,0.545,0.025573424,0.039666667,0.001699673,0.096,0.008286535,0.11,0.008286535,0.765333333,0.032826141,0.486,0.042457822,12.6,0.571547607,WHITE,4
80,0.536666667,0.021699974,0.048,0.001632993,0.116,0.009416298,0.130666667,0.009285592,0.757666667,0.02805154,0.478,0.035393031,18.03333333,0.731816613,WHITE,4
114,0.525666667,0.021013223,0.054666667,0.001699673,0.130333333,0.010530379,0.145333333,0.009977753,0.744666667,0.027341462,0.463333333,0.032826141,25.16666667,0.967241209,WHITE,4
150,0.507333333,0.0228959,0.061333333,0.001885618,0.142,0.010424331,0.156666667,0.009533566,0.721,0.029698485,0.435,0.033980386,31.96666667,1.39124245,WHITE,4
195,0.474333333,0.024280765,0.068333333,0.001885618,0.15,0.009899495,0.164,0.009092121,0.675333333,0.032065904,0.384,0.031885211,38.86666667,1.956754683,WHITE,4
260,0.423,0.024752104,0.076,0.002160247,0.152666667,0.010208929,0.166666667,0.009392669,0.602333333,0.033509534,0.312,0.027724838,46.13333333,2.710883415,WHITE,4
345,0.362,0.024041631,0.083333333,0.002867442,0.151333333,0.009533566,0.165,0.008831761,0.515666667,0.032355662,0.241333333,0.021638443,52.46666667,3.441253002,WHITE,4
440,0.306333333,0.021452791,0.089,0.004082483,0.146333333,0.009672412,0.161333333,0.008956686,0.435666667,0.028859814,0.187,0.016512621,56.6,3.960639679,WHITE,4
556,0.254,0.018402898,0.093333333,0.004109609,0.143,0.007874008,0.157333333,0.007717225,0.361,0.024832774,0.143666667,0.01203698,59.36666667,4.292888176,WHITE,4
690,0.208666667,0.015326085,0.098,0.004546061,0.141,0.008041559,0.156,0.007483315,0.296,0.020607442,0.111,0.008640988,60.46666667,4.50653846,WHITE,4
844,0.170666667,0.012498889,0.103,0.005354126,0.141666667,0.00837987,0.156,0.007788881,0.242666667,0.016779617,0.086333333,0.00601849,60.5,4.384822307,WHITE,4
1007,0.141,0.010614456,0.108,0.00509902,0.144,0.007348469,0.158,0.00697615,0.200333333,0.013767918,0.069333333,0.004642796,59.63333333,4.412356387,WHITE,4
1207,0.113666667,0.008259674,0.115,0.00509902,0.149,0.007348469,0.163,0.00697615,0.162333333,0.010873004,0.054666667,0.003399346,57.7,4.173727351,WHITE,4
1414,0.093666667,0.006847546,0.122,0.005715476,0.155,0.007483315,0.169333333,0.007586538,0.133333333,0.00942809,0.043666667,0.002624669,55.56666667,4.149163236,WHITE,4
1689,0.074333333,0.00518545,0.13,0.00509902,0.163666667,0.007408704,0.176666667,0.007133645,0.106333333,0.006599663,0.034333333,0.001699673,52.8,3.680579664,WHITE,4
1995,0.058333333,0.003771236,0.140333333,0.004642796,0.175,0.006683313,0.187333333,0.006236096,0.083666667,0.005436502,0.027,0.001414214,48.96666667,3.370789555,WHITE,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,5
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,5
0,0.718333333,0.004189935,0,0,0,0,0,0,1,0,1,0,0,0,WHITE,5
1,0.690666667,0.002494438,0.008666667,0.001247219,0.028333333,0.004109609,0.035333333,0.004921608,0.968666667,0.001247219,0.899,0.00509902,0.3,0,WHITE,5
2,0.693333333,0.003681787,0.01,0.002160247,0.034,0.008041559,0.042,0.009416298,0.974333333,0.002494438,0.916333333,0.007760298,0.6,0,WHITE,5
11,0.646,0.00697615,0.015666667,0.003299832,0.047333333,0.010143416,0.057333333,0.011556624,0.911333333,0.008013877,0.749333333,0.01798765,2.966666667,0.047140452,WHITE,5
31,0.533,0.009899495,0.027666667,0.004784233,0.063666667,0.012498889,0.076333333,0.013695092,0.755,0.011860298,0.476,0.014165686,6.933333333,0.124721913,WHITE,5
55,0.511,0.011224972,0.041333333,0.005249339,0.092666667,0.013960261,0.108333333,0.014429907,0.729666667,0.013474255,0.448,0.015253415,11.76666667,0.249443826,WHITE,5
80,0.506666667,0.010530379,0.050333333,0.00601849,0.113666667,0.016048537,0.13,0.016309506,0.728,0.013490738,0.448666667,0.015542058,17.03333333,0.339934634,WHITE,5
114,0.499666667,0.010780641,0.056666667,0.006847546,0.128666667,0.01887385,0.144666667,0.018856181,0.721,0.014306176,0.442,0.017378147,23.93333333,0.498887652,WHITE,5
150,0.484666667,0.013072448,0.062,0.007071068,0.138,0.020607442,0.154,0.019866219,0.701333333,0.018061623,0.42,0.020848661,30.56666667,0.817856276,WHITE,5
195,0.455,0.015513435,0.068666667,0.007542472,0.145,0.022105806,0.160666667,0.021171259,0.659333333,0.022602851,0.375666667,0.0228959,37.26666667,1.26578917,WHITE,5
260,0.407,0.016753109,0.076333333,0.008806563,0.148666667,0.02422579,0.164,0.022992752,0.590333333,0.024716167,0.309333333,0.02200505,44.43333333,1.79691093,WHITE,5
345,0.35,0.016391054,0.083333333,0.010964589,0.148,0.024711671,0.163333333,0.02407396,0.507333333,0.024417662,0.242666667,0.018354533,50.66666667,2.414309195,WHITE,5
440,0.296666667,0.015542058,0.088666667,0.012657892,0.145333333,0.026411277,0.160666667,0.024997778,0.430333333,0.022291005,0.189666667,0.01461354,54.9,2.824889378,WHITE,5
556,0.247666667,0.013572849,0.093,0.013735599,0.142333333,0.025629844,0.157333333,0.024850665,0.358333333,0.019601587,0.147333333,0.011115555,57.8,3.131559782,WHITE,5
690,0.204333333,0.011585431,0.097,0.014514361,0.14,0.025495098,0.155333333,0.024253293,0.295666667,0.01675974,0.114666667,0.008498366,59.16666667,3.226280969,WHITE,5
844,0.168,0.009092121,0.101,0.015297059,0.138666667,0.025368397,0.154333333,0.024253293,0.243,0.013366625,0.090333333,0.00601849,59.46666667,3.256105376,WHITE,5
1007,0.139,0.008286535,0.106333333,0.015627611,0.141666667,0.024796953,0.156666667,0.024004629,0.201333333,0.012119773,0.072333333,0.005249339,58.8,3.3950945,WHITE,5
1207,0.113333333,0.006236096,0.112,0.016083117,0.145333333,0.024689179,0.160333333,0.023669014,0.164333333,0.009741093,0.057333333,0.003858612,57.46666667,3.252007927,WHITE,5
1414,0.093333333,0.005436502,0.119,0.016673332,0.152,0.024913183,0.166666667,0.023795424,0.136,0.008041559,0.046666667,0.003399346,55.6,3.28734949,WHITE,5
1689,0.074,0.004546061,0.128666667,0.016357126,0.162333333,0.024253293,0.176666667,0.022231109,0.107666667,0.006342099,0.036666667,0.002624669,52.46666667,3.145720197,WHITE,5
1995,0.058666667,0.003399346,0.138333333,0.016213849,0.173,0.024124676,0.186666667,0.022231109,0.086333333,0.005249339,0.028666667,0.001885618,49.43333333,2.994810326,WHITE,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,5
